fold,held_out,model,accuracy,macro_f1,walking_precision,walking_recall,walking_f1
0,1,Logistic Regression,0.9753086419753086,0.9698366149979054,0.9912663755458515,0.9742489270386266,0.9826839826839827
0,1,Ridge Classifier,0.8950617283950617,0.8595023403522645,0.8917322834645669,0.9721030042918455,0.9301848049281314
0,1,SGD Classifier,0.9675925925925926,0.9591202809429251,0.9664570230607966,0.9892703862660944,0.9777306468716861
0,1,Passive Aggressive,0.941358024691358,0.9309090909090909,0.9930875576036866,0.924892703862661,0.9577777777777777
0,1,Linear Discriminant,0.9012345679012346,0.868312757201646,0.8972332015810277,0.9742489270386266,0.934156378600823
0,1,Quadratic Discriminant,0.970679012345679,0.9638883919012855,0.9827213822894169,0.9763948497854077,0.9795479009687836
0,1,SVM (RBF),0.9259259259259259,0.9143753785167649,0.9976190476190476,0.8991416309012875,0.945823927765237
0,1,SVM (Linear),0.9151234567901234,0.9025204108146547,0.9951807228915662,0.8862660944206009,0.9375709421112373
0,1,Nu-SVC,0.7314814814814815,0.7175324675324675,0.9478527607361963,0.6630901287553648,0.7803030303030303
0,1,KNN (k=5),0.9459876543209876,0.9298230414347289,0.9371196754563894,0.9914163090128756,0.9635036496350365
0,1,KNN (k=11),0.9182098765432098,0.8898040511706555,0.9041095890410958,0.9914163090128756,0.9457523029682702
0,1,Decision Tree,0.6466049382716049,0.6152448020244815,0.8228882833787466,0.648068669527897,0.7250900360144058
0,1,Extra Tree,0.9768518518518519,0.9711043661540566,0.9787685774946921,0.9892703862660944,0.983991462113127
0,1,Random Forest,0.3966049382716049,0.3796917653107441,1.0,0.1609442060085837,0.27726432532347506
0,1,Extra Trees,0.9814814814814815,0.9775208140610545,1.0,0.9742489270386266,0.9869565217391304
0,1,Gradient Boosting,0.30246913580246915,0.25220588235294117,1.0,0.030042918454935622,0.058333333333333334
0,1,Hist Gradient Boosting,0.38117283950617287,0.36031904287138583,1.0,0.13948497854077252,0.2448210922787194
0,1,AdaBoost,0.9830246913580247,0.9793615635179154,1.0,0.9763948497854077,0.988056460369164
0,1,Bagging,0.2839506172839506,0.22408026755852845,1.0,0.004291845493562232,0.008547008547008548
0,1,Gaussian NB,0.9506172839506173,0.9366816494039476,0.9465020576131687,0.9871244635193133,0.9663865546218487
0,1,MLP,0.9845679012345679,0.9810869184519293,0.9956521739130435,0.9828326180257511,0.9892008639308856
0,1,XGBoost,0.2839506172839506,0.22408026755852845,1.0,0.004291845493562232,0.008547008547008548
