model,accuracy,walking_precision,walking_recall,walking_f1,macro_f1,n_folds
Ridge Classifier,0.9933110367892977,0.9975186104218362,0.9925925925925926,0.995049504950495,0.9923701132999898,1
Extra Trees,0.9899665551839465,0.9950372208436724,0.9901234567901235,0.9925742574257426,0.9885551699499847,1
Random Forest,0.9899665551839465,0.9950372208436724,0.9901234567901235,0.9925742574257426,0.9885551699499847,1
SVM (RBF),0.9899665551839465,0.9950372208436724,0.9901234567901235,0.9925742574257426,0.9885551699499847,1
KNN (k=5),0.9916387959866221,0.9926108374384236,0.9950617283950617,0.9938347718865598,0.9904238794497734,1
Linear Discriminant,0.9899665551839465,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9885242755709076,1
AdaBoost,0.9882943143812709,0.9925742574257426,0.9901234567901235,0.9913473423980222,0.9866297435504323,1
KNN (k=11),0.9882943143812709,0.9925742574257426,0.9901234567901235,0.9913473423980222,0.9866297435504323,1
Bagging,0.9832775919732442,0.9925187032418953,0.9827160493827161,0.9875930521091811,0.9809760132340777,1
Gradient Boosting,0.9866220735785953,0.9901234567901235,0.9901234567901235,0.9901234567901235,0.9846990340945436,1
Logistic Regression,0.9866220735785953,0.9901234567901235,0.9901234567901235,0.9901234567901235,0.9846990340945436,1
MLP,0.9866220735785953,0.9901234567901235,0.9901234567901235,0.9901234567901235,0.9846990340945436,1
Hist Gradient Boosting,0.9866220735785953,0.9901234567901235,0.9901234567901235,0.9901234567901235,0.9846990340945436,1
XGBoost,0.9849498327759197,0.9900990099009901,0.9876543209876543,0.9888751545117429,0.9828096702791272,1
Quadratic Discriminant,0.9832775919732442,0.9900744416873449,0.9851851851851852,0.9876237623762376,0.9809252832499744,1
Passive Aggressive,0.9816053511705686,0.9900497512437811,0.9827160493827161,0.9863692688971499,0.9790458169678552,1
SGD Classifier,0.9832775919732442,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9808737926181794,1
Nu-SVC,0.9715719063545151,0.9874371859296482,0.9703703703703703,0.9788293897882939,0.9677861961664116,1
SVM (Linear),0.979933110367893,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9770485511418154,1
Decision Tree,0.9682274247491639,0.9825,0.9703703703703703,0.9763975155279503,0.9639020825721594,1
Gaussian NB,0.8327759197324415,0.9750778816199377,0.7728395061728395,0.8622589531680441,0.8247464978606178,1
Extra Tree,0.9548494983277592,0.9565217391304348,0.9777777777777777,0.967032967032967,0.9477074649488443,1
